cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Skeletal_muscle_cells	9	MYOG	0.0123	0.0529	0.0406	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	10	RBPJ	0.0115	0.0493	0.0378	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
T_cells	1	GFI1	0.0315	0.0612	0.0297	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	2	RORC	0.0259	0.0563	0.0304	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	3	ZNF821	0.0147	0.0443	0.0296	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	4	MEF2D	0.0128	0.0461	0.0333	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	5	HMG20A	0.0102	0.0400	0.0297	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	6	ZNF846	0.0101	0.0405	0.0304	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	7	LEF1	0.0101	0.0363	0.0262	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	8	ZNF727	0.0089	0.0373	0.0284	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	9	CTCF	0.0067	0.0364	0.0297	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
T_cells	10	BACH2	0.0060	0.0347	0.0287	B_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1,Adipocyte_cells
White_blood_cells	1	IRF5	0.0322	0.0571	0.0249	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	2	ZNF222	0.0295	0.0527	0.0232	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	3	SP140L	0.0274	0.0527	0.0253	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	4	SPI1	0.0272	0.0533	0.0262	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	5	FAM200B	0.0245	0.0479	0.0234	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	6	POU2F2	0.0237	0.0478	0.0241	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	7	BACH1	0.0228	0.0460	0.0232	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	8	PBX2	0.0227	0.0480	0.0253	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	9	ELK1	0.0226	0.0458	0.0232	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
White_blood_cells	10	USF1	0.0223	0.0496	0.0273	B_cells,T_cells,Lymphatic_vessel_endothelial_cells,Liver_sinusoidal_endothelial_cells,Endocardial_cells
