cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Endocardial_cells	5	JUN	0.0099	0.0326	0.0227	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	6	TERF2	0.0099	0.0329	0.0230	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	7	SOX7	0.0096	0.0381	0.0285	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	8	NFATC2	0.0095	0.0325	0.0230	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	9	ZNF442	0.0094	0.0313	0.0219	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	10	PBX2	0.0089	0.0311	0.0223	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endothelium	1	BCL6B	0.0085	0.0416	0.0331	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	2	HOXC4	0.0084	0.0284	0.0199	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	3	HOXC8	0.0084	0.0284	0.0201	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	4	HOXC9	0.0082	0.0287	0.0205	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	5	HOXC5	0.0081	0.0280	0.0199	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	6	HOXC6	0.0081	0.0287	0.0206	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
